"FileName","FullPath","SizeBytes","SizeMB","LastModified","DuplicateCount"
"hmm_1.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-06-27 04:18:34","40"
"hmm_1.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-06-27 04:18:36","40"
"hmm_1.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-06-27 04:18:36","40"
"hmm_1.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-06-27 04:18:36","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-07-03 13:35:40","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-07-03 13:35:40","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-07-03 13:35:40","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-07-03 13:35:40","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-07-03 13:35:40","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-07-03 18:28:56","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-07-03 18:28:56","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-07-03 18:28:58","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-07-03 18:28:58","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-07-03 18:28:58","40"
"hmm_1.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\hmm_1.datcor","4132","0","2013-07-03 18:29:52","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_a\hmm_1.datcor","4132","0","2013-08-11 16:42:16","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-08-11 16:42:14","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-08-11 16:42:14","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-08-11 16:42:14","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-08-11 16:42:14","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-08-11 16:42:14","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_Bash\hmm_1.datcor","4132","0","2013-08-16 04:17:36","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-08-16 04:17:34","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-08-16 04:17:34","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-08-16 04:17:34","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-08-16 04:17:34","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-08-16 04:17:34","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-09-03 03:14:16","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-09-03 03:14:16","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-09-03 03:14:16","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-09-03 03:14:18","40"
"hmm_1.datcor","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-09-03 03:14:20","40"
"hmm_1.datcor","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-07-03 18:28:56","40"
"hmm_1.datcor","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\19-6-2013\1000 iters_2\hmm_1.datcor","4132","0","2013-07-03 18:28:56","40"
"hmm_1.datcor","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\19-6-2013\10000 iters\hmm_1.datcor","4132","0","2013-07-03 18:28:58","40"
"hmm_1.datcor","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\19-6-2013\100000 iters\hmm_1.datcor","4132","0","2013-07-03 18:28:58","40"
"hmm_1.datcor","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\20-6-2013\2 obs resize\hmm_1.datcor","4132","0","2013-07-03 18:28:58","40"
"hmm_1.datcor","C:\MyData\OLD DOK\PROJECT\hmm_1.datcor","4132","0","2013-07-14 03:53:44","40"
"hmm_10.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\hmm_10.datcor","4132","0","2013-06-27 04:18:40","36"
"hmm_10.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\1000 iters_1\hmm_10.datcor","4132","0","2013-06-27 04:18:34","36"
"hmm_10.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\1000 iters_2\hmm_10.datcor","4132","0","2013-06-27 04:18:34","36"
"hmm_10.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\10000 iters\hmm_10.datcor","4132","0","2013-06-27 04:18:36","36"
"hmm_10.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\100000 iters\hmm_10.datcor","4132","0","2013-06-27 04:18:36","36"
"hmm_10.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\20-6-2013\2 obs resize\hmm_10.datcor","4132","0","2013-06-27 04:18:36","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\1000 iters_1\hmm_10.datcor","4132","0","2013-07-03 13:35:40","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\1000 iters_2\hmm_10.datcor","4132","0","2013-07-03 13:35:40","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\10000 iters\hmm_10.datcor","4132","0","2013-07-03 13:35:40","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\19-6-2013\100000 iters\hmm_10.datcor","4132","0","2013-07-03 13:35:40","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\20-6-2013\2 obs resize\hmm_10.datcor","4132","0","2013-07-03 13:35:40","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\1000 iters_1\hmm_10.datcor","4132","0","2013-07-03 18:28:56","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\1000 iters_2\hmm_10.datcor","4132","0","2013-07-03 18:28:56","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\10000 iters\hmm_10.datcor","4132","0","2013-07-03 18:28:58","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\19-6-2013\100000 iters\hmm_10.datcor","4132","0","2013-07-03 18:28:58","36"
"hmm_10.datcor","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\20-6-2013\2 obs resize\hmm_10.datcor","4132","0","2013-07-03 18:28:58","36"
